001,美孚1号机油,保养用品,4,升,001,,0.0000,0.0000,0.0000,680.0000,680.0000
003,瓦尔塔电池,快修用品,,个,003,,0.0000,0.0000,370.0000,680.0000,680.0000
006,铁将军太阳能胎压监视器T179,汽车用品,T179,套,006,,0.0000,0.0000,730.0000,1380.0000,1380.0000
007,行车记录仪+行车记录仪,汽车用品,,套,007,,0.0000,0.0000,0.0000,1180.0000,1180.0000
008,其它,美容用品,,瓶,008,,-1550.0000,0.0000,0.0000,100.0000,100.0000
009,雨刮片,快修用品,,条,009,,1.0000,35.0000,35.0000,50.0000,50.0000
010,亚路发DCC双核漆面镀晶,美容用品,DCC,套,010,,2.0000,2160.0000,1080.0000,5880.0000,5880.0000
012,法雷奥优静无骨雨刮片16寸,汽车用品,16,条,012,,1.0000,56.0000,56.0000,140.0000,140.0000
013,朗龙挂式香水,汽车用品,,支,013,,10.0000,590.0000,59.0000,118.0000,118.0000
014,午阳真皮,汽车用品,,套,014,,0.0000,0.0000,0.0000,3221.0000,3221.0000
018,铁将军胎压监测报警器T213,汽车用品,T213,套,018,,0.0000,0.0000,650.0000,1280.0000,1280.0000
020,360全景可视倒车系统,汽车用品,,套,020,,2.0000,0.0000,0.0000,3880.0000,3880.0000
021,飞雨滑水高效玻璃水,美容用品,2L,瓶,021,,16.0000,1120.0000,70.0000,180.0000,180.0000
022,亚路发Z0超值体验镀晶,美容用品,套,套,022,,5.0000,1900.0000,380.0000,1680.0000,1680.0000
023,亚路发Z1+极光漆面镀晶,美容用品,套,套,023,,6.0000,4680.0000,780.0000,0.0000,0.0000
024,z5纳米魔术亮晶套装,美容用品,套,套,024,,2.0000,420.0000,210.0000,1280.0000,1280.0000
025,朗龙挂式玉玺香水,汽车用品,,个,025,,0.0000,0.0000,118.0000,268.0000,268.0000
026,朗龙净味碳膏,汽车用品,,个,026,,6.0000,336.0000,56.0000,118.0000,118.0000
027,法雷奥优静无骨雨刮片17寸,汽车用品,17,条,027,,0.0000,0.0000,56.0000,140.0000,140.0000
028,法雷奥优静无骨雨刮片18寸,汽车用品,18,条,028,,3.0000,168.0000,56.0000,140.0000,140.0000
029,法雷奥优静无骨雨刮片19寸,汽车用品,19,条,029,,1.0000,59.0000,59.0000,140.0000,140.0000
030,法雷奥优静无骨雨刮片20寸,汽车用品,20,条,030,,1.0000,59.0000,59.0000,118.0000,118.0000
031,法雷奥优静无骨雨刮片21寸,汽车用品,21,条,031,,1.0000,59.0000,59.0000,140.0000,140.0000
032,法雷奥优静无骨雨刮片22寸,汽车用品,22,条,032,,1.0000,59.0000,59.0000,140.0000,140.0000
033,法雷奥传统有骨雨刮片17寸,汽车用品,17,条,033,,1.0000,18.0000,18.0000,120.0000,120.0000
034,法雷奥传统有骨雨刮片18寸,汽车用品,18,条,034,,1.0000,18.0000,18.0000,60.0000,60.0000
035,法雷奥传统有骨雨刮片19寸,汽车用品,19,条,035,,3.0000,60.0000,20.0000,60.0000,60.0000
036,法雷奥传统有骨雨刮片20寸,汽车用品,20,条,036,,2.0000,40.0000,20.0000,60.0000,60.0000
037,净宝,美容用品,,套,037,,0.0000,0.0000,330.0000,880.0000,880.0000
038,温馨香媛,美容用品,,套,038,,4.0000,720.0000,180.0000,580.0000,580.0000
039,洁仕,耗材,,套,039,,-34.6600,-1455.7200,42.0000,0.0000,0.0000
040,铁将军胎压智感700,汽车用品,,套,040,,1.0000,430.0000,430.0000,499.0000,499.0000
041,铁将军胎压智感850,汽车用品,,套,041,,0.0000,0.0000,480.0000,699.0000,699.0000
042,标榜泡沫剂,美容用品,,支,042,,-1.0000,-5.2000,5.2000,28.0000,28.0000
043,标榜柏油清洁剂,耗材,,支,043,,0.0000,0.0000,6.3000,0.0000,0.0000
044,和流香香膏,汽车用品,,盒,044,,29.0000,1160.0000,40.0000,88.0000,88.0000
045,和流香挂式香水,汽车用品,,瓶,045,,8.0000,600.0000,75.0000,138.0000,138.0000
046,百适通空调清洗除味套装,美容用品,,升,046,,4.0000,392.0000,98.0000,480.0000,480.0000
047,百适通防冻液（绿色）2L,美容用品,2L,升,047,,5.0000,165.0000,33.0000,98.0000,98.0000
048,百适通防冻液（绿色）4L,美容用品,4L,升,048,,5.0000,325.0000,65.0000,168.0000,168.0000
049,瓦尔塔电池H8-90LT2H,汽车用品,H8-90LT2H,个,049,,1.0000,788.0000,788.0000,1680.0000,1680.0000
050,瓦尔塔电池H8-100LT2H,汽车用品,H8-100LT2H,个,050,,1.0000,950.0000,950.0000,1800.0000,1800.0000
051,欧司朗氙气灯泡H1 12V 55W,汽车用品,H1 12V 55W,盒,051,,1.0000,145.0000,145.0000,280.0000,280.0000
052,欧司朗氙气灯泡H4 12V 55W,汽车用品,H4 12V 55W,盒,052,,1.0000,155.0000,155.0000,280.0000,280.0000
053,欧司朗氙气灯泡H7 12V 55W,汽车用品,H7 12V 55W,盒,053,,1.0000,158.0000,158.0000,280.0000,280.0000
054,欧司朗氙气灯泡H11 12V 55W,汽车用品,H11 12V 55W,盒,054,,1.0000,195.0000,195.0000,380.0000,380.0000
055,欧司朗氙气灯泡HB4 12V 55W,汽车用品,HB4  12V  55W,盒,055,,1.0000,155.0000,155.0000,280.0000,280.0000
056,欧司朗氙气灯泡（9006）H1 12V 55W,汽车用品,H1 12V 55W,盒,056,,0.0000,0.0000,145.0000,280.0000,280.0000
057,欧司朗氙气灯泡（9006）H3 12V 55W,汽车用品,H3 12V 55W,盒,057,,1.0000,155.0000,155.0000,280.0000,280.0000
